"image_name";"organ";"species_id";"obs_id";"license";"partner";"author";"altitude";"latitude";"longitude";"gbif_species_id";"species";"genus";"family";"dataset";"publisher";"references";"url";"learn_tag";"image_backup_url"
"59feabe1c98f06e7f819f73c8246bd8f1a89556b.jpg";"leaf";"1396710";"1008726402";"cc-by-sa";"";"Gulyás Bálint";"205.9261";"47.5921600184";"19.3628948779";"5284517.0";"Taxus baccata L.";"Taxus";"Taxaceae";"plantnet";"plantnet";"https://identify.plantnet.org/fr/k-southwestern-europe/observations/1008726402";"https://bs.plantnet.org/image/o/59feabe1c98f06e7f819f73c8246bd8f1a89556b";"train";"https://lab.plantnet.org/LifeCLEF/PlantCLEF2024/single_plant_training_data/PlantCLEF2024singleplanttrainingdata/train/1396710/59feabe1c98f06e7f819f73c8246bd8f1a89556b.jpg"
"dc273995a89827437d447f29a52ccac86f65476e.jpg";"leaf";"1396710";"1008724195";"cc-by-sa";"";"vadim sigaud";"323.752";"47.9067031299";"7.201745715";"5284517.0";"Taxus baccata L.";"Taxus";"Taxaceae";"plantnet";"plantnet";"https://identify.plantnet.org/fr/k-southwestern-europe/observations/1008724195";"https://bs.plantnet.org/image/o/dc273995a89827437d447f29a52ccac86f65476e";"train";"https://lab.plantnet.org/LifeCLEF/PlantCLEF2024/single_plant_training_data/PlantCLEF2024singleplanttrainingdata/train/1396710/dc273995a89827437d447f29a52ccac86f65476e.jpg"
"416235e7023a4bd1513edf036b6097efc693a304.jpg";"leaf";"1396710";"1008721908";"cc-by-sa";"";"fil escande";"101.316";"48.82677405555556";"2.3527739722222223";"5284517.0";"Taxus baccata L.";"Taxus";"Taxaceae";"plantnet";"plantnet";"https://identify.plantnet.org/fr/k-southwestern-europe/observations/1008721908";"https://bs.plantnet.org/image/o/416235e7023a4bd1513edf036b6097efc693a304";"train";"https://lab.plantnet.org/LifeCLEF/PlantCLEF2024/single_plant_training_data/PlantCLEF2024singleplanttrainingdata/train/1396710/416235e7023a4bd1513edf036b6097efc693a304.jpg"
"cbd18fade82c46a5c725f1f3d982174895158afc.jpg";"leaf";"1396710";"1008699177";"cc-by-sa";"";"Desiree Verver";"5.107";"52.1904271191";"6.0096765971";"5284517.0";"Taxus baccata L.";"Taxus";"Taxaceae";"plantnet";"plantnet";"https://identify.plantnet.org/fr/k-southwestern-europe/observations/1008699177";"https://bs.plantnet.org/image/o/cbd18fade82c46a5c725f1f3d982174895158afc";"train";"https://lab.plantnet.org/LifeCLEF/PlantCLEF2024/single_plant_training_data/PlantCLEF2024singleplanttrainingdata/train/1396710/cbd18fade82c46a5c725f1f3d982174895158afc.jpg"
"f82c8c6d570287ebed8407cefcfcb2a51eaaf56e.jpg";"leaf";"1396710";"1008683100";"cc-by-sa";"";"branebrane";"165.339";"45.79473897222222";"15.96586197222222";"5284517.0";"Taxus baccata L.";"Taxus";"Taxaceae";"plantnet";"plantnet";"https://identify.plantnet.org/fr/k-southwestern-europe/observations/1008683100";"https://bs.plantnet.org/image/o/f82c8c6d570287ebed8407cefcfcb2a51eaaf56e";"train";"https://lab.plantnet.org/LifeCLEF/PlantCLEF2024/single_plant_training_data/PlantCLEF2024singleplanttrainingdata/train/1396710/f82c8c6d570287ebed8407cefcfcb2a51eaaf56e.jpg"
"7ba8657334c73a49e050f34d7cc28e5183da0962.jpg";"leaf";"1396710";"1008673327";"cc-by-sa";"";"Honza";"267.0";"50.41771716666666";"14.27227013888889";"5284517.0";"Taxus baccata L.";"Taxus";"Taxaceae";"plantnet";"plantnet";"https://identify.plantnet.org/fr/k-southwestern-europe/observations/1008673327";"https://bs.plantnet.org/image/o/7ba8657334c73a49e050f34d7cc28e5183da0962";"train";"https://lab.plantnet.org/LifeCLEF/PlantCLEF2024/single_plant_training_data/PlantCLEF2024singleplanttrainingdata/train/1396710/7ba8657334c73a49e050f34d7cc28e5183da0962.jpg"
"6d2cfb3785d87c73d787190689e17d296f02e29d.jpg";"leaf";"1396710";"1008666205";"cc-by-sa";"";"Aaron Root";"38.5507";"40.34684693";"-75.93081119";"5284517.0";"Taxus baccata L.";"Taxus";"Taxaceae";"plantnet";"plantnet";"https://identify.plantnet.org/fr/k-southwestern-europe/observations/1008666205";"https://bs.plantnet.org/image/o/6d2cfb3785d87c73d787190689e17d296f02e29d";"train";"https://lab.plantnet.org/LifeCLEF/PlantCLEF2024/single_plant_training_data/PlantCLEF2024singleplanttrainingdata/train/1396710/6d2cfb3785d87c73d787190689e17d296f02e29d.jpg"
"3129c522331837b2f79ccce4ff96c67e5cf17715.jpg";"leaf";"1396710";"1008662362";"cc-by-sa";"";"tony rogers";"110.136";"51.673301";"-1.2902699999999998";"5284517.0";"Taxus baccata L.";"Taxus";"Taxaceae";"plantnet";"plantnet";"https://identify.plantnet.org/fr/k-southwestern-europe/observations/1008662362";"https://bs.plantnet.org/image/o/3129c522331837b2f79ccce4ff96c67e5cf17715";"train";"https://lab.plantnet.org/LifeCLEF/PlantCLEF2024/single_plant_training_data/PlantCLEF2024singleplanttrainingdata/train/1396710/3129c522331837b2f79ccce4ff96c67e5cf17715.jpg"
"394af6a92ff308ae70cf4d62737d9f6fdb2cf96b.jpg";"leaf";"1396710";"1008634410";"cc-by-sa";"";"Denis Simacourbe";"";"";"";"5284517.0";"Taxus baccata L.";"Taxus";"Taxaceae";"plantnet";"plantnet";"https://identify.plantnet.org/fr/k-southwestern-europe/observations/1008634410";"https://bs.plantnet.org/image/o/394af6a92ff308ae70cf4d62737d9f6fdb2cf96b";"train";"https://lab.plantnet.org/LifeCLEF/PlantCLEF2024/single_plant_training_data/PlantCLEF2024singleplanttrainingdata/train/1396710/394af6a92ff308ae70cf4d62737d9f6fdb2cf96b.jpg"
"2ea61dcc42da85b3a2b879049c45adb3da0334a5.jpg";"fruit";"1396710";"1008631629";"cc-by-sa";"";"Nick Jones";"120.4";"53.91286111111111";"-1.7429222222222225";"5284517.0";"Taxus baccata L.";"Taxus";"Taxaceae";"plantnet";"plantnet";"https://identify.plantnet.org/fr/k-southwestern-europe/observations/1008631629";"https://bs.plantnet.org/image/o/2ea61dcc42da85b3a2b879049c45adb3da0334a5";"train";"https://lab.plantnet.org/LifeCLEF/PlantCLEF2024/single_plant_training_data/PlantCLEF2024singleplanttrainingdata/train/1396710/2ea61dcc42da85b3a2b879049c45adb3da0334a5.jpg"
